feature,manual_decision_status,final_encoding_decision,final_missing_handling_decision,final_validation_decision,manual_risk_level,manual_check_needed,manual_check_reason,drop_now,next_stage_use
cc_latest_high_utilization_80plus_flag_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_invalid_credit_limit_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_no_payment_with_balance_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_no_payment_with_balance_flag_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_no_payment_with_balance_flag_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_over_limit_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_payment_less_than_min_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_payment_less_than_min_flag_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_payment_less_than_min_flag_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_active_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_active_flag_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_active_flag_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_approved_flag,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_canceled_flag,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_completed_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_completed_flag_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_completed_flag_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_demand_flag,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_refused_flag,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_status_signed_flag,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
